"","ohi_rgn","percent_saup","saup_id","saup_name","fao_rgn","prop_area"
"159",17,1,598,"Papua New Guinea",71,1
"160",138,1,604,"Peru",87,1
"161",15,1,608,"Philippines",71,0.958684095
"162",15,1,608,"Philippines",61,0.041315905
"163",146,1,612,"Pitcairn (UK)",81,0.443219625
"164",146,1,612,"Pitcairn (UK)",77,0.556780375
"165",178,1,616,"Poland",27,1
"166",183,1,620,"Portugal (mainland)",34,0.139926979
"167",183,1,620,"Portugal (mainland)",27,0.860073021
"168",57,1,621,"Madeira Isl. (Portugal)",34,0.965931246
"169",57,1,621,"Madeira Isl. (Portugal)",27,0.034068754
"170",55,1,622,"Azores Isl. (Portugal)",34,0.161843851
"171",55,1,622,"Azores Isl. (Portugal)",27,0.838156149
"172",193,1,624,"Guinea-Bissau",34,1
"173",231,0.942583435,626,"Timor Leste",57,1
"174",237,0.057416565,626,"Timor Leste",57,1
"175",116,1,630,"Puerto Rico (USA)",31,1
"176",190,1,634,"Qatar",51,1
"177",32,1,638,"Réunion (France)",51,1
"178",72,1,642,"Romania",37,1
"179",73,1,645,"Russia (Barents Sea)",27,1
"180",73,1,647,"Russia (Black Sea)",37,1
"181",73,1,648,"Russia (Baltic Sea)",27,1
"182",73,1,649,"Russia (Far East)",61,1
"183",86,1,654,"Saint Helena (UK)",47,1
"184",119,1,659,"Saint Kitts & Nevis",31,1
"185",118,1,660,"Anguilla (UK)",31,1
"186",122,1,662,"Saint Lucia",31,1
"187",219,1,666,"Saint Pierre & Miquelon (France)",21,1
