"","ohi_rgn","species","rgn_typ","rgn_nam","probability"
"371",18,"Galeocerdo cuvier","eez","Fiji",0
"372",19,"Galeocerdo cuvier","eez","Tuvalu",0
"373",20,"Galeocerdo cuvier","eez","South Korea",0
"374",21,"Galeocerdo cuvier","eez","North Korea",0
"375",24,"Galeocerdo cuvier","eez","Cambodia",0
"376",25,"Galeocerdo cuvier","eez","Thailand",0
"377",26,"Galeocerdo cuvier","eez","Andaman and Nicobar",0
"378",28,"Galeocerdo cuvier","eez","Comoro Islands",0
"379",29,"Galeocerdo cuvier","eez","Mayotte",0
"380",30,"Galeocerdo cuvier","eez","Glorioso Islands",0
"381",31,"Galeocerdo cuvier","eez","Seychelles",0
"382",32,"Galeocerdo cuvier","eez","R_union",0
"383",33,"Galeocerdo cuvier","eez","Juan de Nova Island",0
"384",34,"Galeocerdo cuvier","eez","Bassas da India",0
"385",35,"Galeocerdo cuvier","eez","Ile Europa",0
"386",36,"Galeocerdo cuvier","eez","Ile Tromelin",0
"387",37,"Galeocerdo cuvier","eez","Mauritius",0
"388",38,"Galeocerdo cuvier","eez","British Indian Ocean Territory",0
"389",39,"Galeocerdo cuvier","eez","Maldives",0
"390",40,"Galeocerdo cuvier","eez","Sri Lanka",0
"391",41,"Galeocerdo cuvier","eez","Mozambique",0
"392",42,"Galeocerdo cuvier","eez","Madagascar",0
"393",43,"Galeocerdo cuvier","eez","Kenya",0
"394",44,"Galeocerdo cuvier","eez","Somalia",0
"395",45,"Galeocerdo cuvier","eez","Eritrea",0
"396",46,"Galeocerdo cuvier","eez","Djibouti",0
"397",47,"Galeocerdo cuvier","eez","Yemen",0
"398",48,"Galeocerdo cuvier","eez","Oman",0
"399",49,"Galeocerdo cuvier","eez","Sudan",0
"400",50,"Galeocerdo cuvier","eez","Saudi Arabia",0
"401",51,"Galeocerdo cuvier","eez","Kuwait",0
"402",52,"Galeocerdo cuvier","eez","Bahrain",0
"403",53,"Galeocerdo cuvier","eez","Pakistan",0
"404",54,"Galeocerdo cuvier","eez","United Arab Emirates",0
"405",55,"Galeocerdo cuvier","eez","Azores",0
"406",56,"Galeocerdo cuvier","eez","Cape Verde",0
"407",57,"Galeocerdo cuvier","eez","Madeira",0
"408",58,"Galeocerdo cuvier","eez","Canary Islands",0
"409",59,"Galeocerdo cuvier","eez","Belgium",0
"410",62,"Galeocerdo cuvier","eez","Morocco",0
"411",63,"Galeocerdo cuvier","eez","Western Sahara",0
"412",64,"Galeocerdo cuvier","eez","Mauritania",0
"413",65,"Galeocerdo cuvier","eez","Gambia",0
"414",66,"Galeocerdo cuvier","eez","Senegal",0
"415",73,"Galeocerdo cuvier","eez","Russia",0
"416",85,"Galeocerdo cuvier","eez","Ascension",0
"417",86,"Galeocerdo cuvier","eez","Saint Helena",0
"418",88,"Galeocerdo cuvier","eez","Tristan da Cunha",0
"419",92,"Galeocerdo cuvier","eez","Amsterdam Island and Saint Paul Island",0
"420",96,"Galeocerdo cuvier","eez","Sierra Leone",0
"421",97,"Galeocerdo cuvier","eez","Liberia",0
"422",98,"Galeocerdo cuvier","eez","Togo",0
"423",99,"Galeocerdo cuvier","eez","Benin",0
"424",100,"Galeocerdo cuvier","eez","R_publique du Congo",0
"425",101,"Galeocerdo cuvier","eez","Namibia",0
"426",102,"Galeocerdo cuvier","eez","South Africa",0
"427",103,"Galeocerdo cuvier","eez","Sao Tome and Principe",0
"428",104,"Galeocerdo cuvier","eez","Equatorial Guinea",0
"429",106,"Galeocerdo cuvier","eez","Ghana",0
"430",107,"Galeocerdo cuvier","eez","Clipperton Island",0
"431",108,"Galeocerdo cuvier","eez","Bermuda",0
"432",110,"Galeocerdo cuvier","eez","Bahamas",0
"433",111,"Galeocerdo cuvier","eez","Turks and Caicos Islands",0
"434",112,"Galeocerdo cuvier","eez","Cuba",0
"435",113,"Galeocerdo cuvier","eez","Cayman Islands",0
"436",114,"Galeocerdo cuvier","eez","Haiti",0
"437",115,"Galeocerdo cuvier","eez","Dominican Republic",0
"438",116,"Galeocerdo cuvier","eez","Puerto Rico and Virgin Islands of the United States",0
"439",117,"Galeocerdo cuvier","eez","British Virgin Islands",0
"440",118,"Galeocerdo cuvier","eez","Anguilla",0
"441",119,"Galeocerdo cuvier","eez","Saint Kitts and Nevis",0
"442",120,"Galeocerdo cuvier","eez","Antigua and Barbuda",0
"443",121,"Galeocerdo cuvier","eez","Montserrat",0
"444",122,"Galeocerdo cuvier","eez","Saint Lucia",0
"445",123,"Galeocerdo cuvier","eez","Dominica",0
"446",124,"Galeocerdo cuvier","eez","Barbados",0
"447",125,"Galeocerdo cuvier","eez","Grenada",0
"448",126,"Galeocerdo cuvier","eez","Trinidad and Tobago",0
"449",127,"Galeocerdo cuvier","eez","Saint Vincent and the Grenadines",0
"450",129,"Galeocerdo cuvier","eez","Panama",0
"451",130,"Galeocerdo cuvier","eez","Costa Rica",0
"452",131,"Galeocerdo cuvier","eez","Nicaragua",0
"453",132,"Galeocerdo cuvier","eez","Colombia",0
"454",133,"Galeocerdo cuvier","eez","Honduras",0
"455",134,"Galeocerdo cuvier","eez","El Salvador",0
"456",135,"Galeocerdo cuvier","eez","Mexico",0
"457",136,"Galeocerdo cuvier","eez","Guatemala",0
"458",137,"Galeocerdo cuvier","eez","Ecuador",0
"459",138,"Galeocerdo cuvier","eez","Peru",0
"460",139,"Galeocerdo cuvier","eez","Venezuela",0
"461",140,"Galeocerdo cuvier","eez","Guadeloupe and Martinique",0
"462",141,"Galeocerdo cuvier","eez","Faeroe Islands",0
"463",143,"Galeocerdo cuvier","eez","Iceland",0
"464",146,"Galeocerdo cuvier","eez","Pitcairn",0
"465",147,"Galeocerdo cuvier","eez","French Polynesia",0
"466",148,"Galeocerdo cuvier","eez","Line Group",0
