"","ohi_rgn","species","rgn_typ","rgn_nam","probability"
"261",161,"Galeocerdo cuvier","eez","Wallis and Futuna",0.5
"262",162,"Galeocerdo cuvier","eez","New Zealand",0.5
"263",163,"Galeocerdo cuvier","eez","United States",0.5
"264",164,"Galeocerdo cuvier","eez","Belize",0.5
"265",166,"Galeocerdo cuvier","eez","Jamaica",0.5
"266",167,"Galeocerdo cuvier","eez","Guyana",0.5
"267",168,"Galeocerdo cuvier","eez","Suriname",0.5
"268",169,"Galeocerdo cuvier","eez","French Guiana",0.5
"269",171,"Galeocerdo cuvier","eez","Brazil",0.5
"270",172,"Galeocerdo cuvier","eez","Argentina",0.5
"271",173,"Galeocerdo cuvier","eez","Uruguay",0.5
"272",179,"Galeocerdo cuvier","eez","France",0.5
"273",182,"Galeocerdo cuvier","eez","Spain",0.5
"274",183,"Galeocerdo cuvier","eez","Portugal",0.5
"275",191,"Galeocerdo cuvier","eez","Iran",0.5
"276",193,"Galeocerdo cuvier","eez","Guinea Bissau",0.5
"277",194,"Galeocerdo cuvier","eez","Guinea",0.5
"278",195,"Galeocerdo cuvier","eez","Ivory Coast",0.5
"279",196,"Galeocerdo cuvier","eez","Nigeria",0.5
"280",198,"Galeocerdo cuvier","eez","Gabon",0.5
"281",200,"Galeocerdo cuvier","eez","Angola",0.5
"282",202,"Galeocerdo cuvier","eez","Tanzania",0.5
"283",203,"Galeocerdo cuvier","eez","India",0.5
"284",204,"Galeocerdo cuvier","eez","Bangladesh",0.5
"285",205,"Galeocerdo cuvier","eez","Myanmar",0.5
"286",206,"Galeocerdo cuvier","eez","Malaysia",0.5
"287",207,"Galeocerdo cuvier","eez","Vietnam",0.5
"288",209,"Galeocerdo cuvier","eez","China",0.5
"289",210,"Galeocerdo cuvier","eez","Japan",0.5
"290",212,"Galeocerdo cuvier","eez","Kiribati",0.5
"291",216,"Galeocerdo cuvier","eez","Indonesia",0.5
"292",221,"Galeocerdo cuvier","eez","Northern Saint-Martin",0.5
"293",224,"Galeocerdo cuvier","eez","Chile",0.5
"294",231,"Galeocerdo cuvier","eez","East Timor",0.5
"295",237,"Galeocerdo cuvier","eez","Oecussi Ambeno",0.5
"296",244,"Galeocerdo cuvier","eez","Curaçao",0.5
"297",245,"Galeocerdo cuvier","eez","Bonaire",0.5
"298",247,"Galeocerdo cuvier","eez","Brunei",0.5
"299",248,"Galeocerdo cuvier","eez","Saba",0.5
"300",250,"Galeocerdo cuvier","eez","Aruba",0.5
"301",262,"Galeocerdo cuvier","fao","Atlantic, Northeast",0.5
"302",264,"Galeocerdo cuvier","fao","Atlantic, Eastern Central",0.5
"303",266,"Galeocerdo cuvier","fao","Atlantic, Southwest",0.5
"304",267,"Galeocerdo cuvier","fao","Atlantic, Southeast",0.5
"305",269,"Galeocerdo cuvier","fao","Indian Ocean, Western",0.5
"306",272,"Galeocerdo cuvier","fao","Pacific, Northwest",0.5
"307",274,"Galeocerdo cuvier","fao","Pacific, Western Central",0.5
"308",276,"Galeocerdo cuvier","fao","Pacific, Southwest",0.5
"309",277,"Galeocerdo cuvier","fao","Pacific, Southeast",0.5
"310",1,"Galeocerdo cuvier","eez","Cocos Islands",0
"311",2,"Galeocerdo cuvier","eez","Christmas Island",0
"312",3,"Galeocerdo cuvier","eez","Norfolk Island",0
"313",5,"Galeocerdo cuvier","eez","New Caledonia",0
"314",6,"Galeocerdo cuvier","eez","Vanuatu",0
"315",7,"Galeocerdo cuvier","eez","Solomon Islands",0
"316",8,"Galeocerdo cuvier","eez","Palau",0
"317",9,"Galeocerdo cuvier","eez","Micronesia",0
"318",10,"Galeocerdo cuvier","eez","Nauru",0
"319",11,"Galeocerdo cuvier","eez","Marshall Islands",0
"320",12,"Galeocerdo cuvier","eez","Wake Island",0
"321",13,"Galeocerdo cuvier","eez","Northern Mariana Islands and Guam",0
"322",14,"Galeocerdo cuvier","eez","Taiwan",0
"323",15,"Galeocerdo cuvier","eez","Philippines",0
"324",16,"Galeocerdo cuvier","eez","Australia",0
"325",17,"Galeocerdo cuvier","eez","Papua New Guinea",0
"326",18,"Galeocerdo cuvier","eez","Fiji",0
"327",19,"Galeocerdo cuvier","eez","Tuvalu",0
"328",20,"Galeocerdo cuvier","eez","South Korea",0
"329",21,"Galeocerdo cuvier","eez","North Korea",0
