"","ohi_rgn","species","rgn_typ","rgn_nam","probability","FAOarea"
"195",33,"Galeocerdo cuvier","eez","Juan de Nova Island",0.5,NA
"196",34,"Galeocerdo cuvier","eez","Bassas da India",0.5,NA
"197",35,"Galeocerdo cuvier","eez","Ile Europa",0.5,NA
"198",36,"Galeocerdo cuvier","eez","Ile Tromelin",0.5,NA
"199",37,"Galeocerdo cuvier","eez","Mauritius",0.5,NA
"200",38,"Galeocerdo cuvier","eez","British Indian Ocean Territory",0.5,NA
"201",39,"Galeocerdo cuvier","eez","Maldives",0.5,NA
"202",40,"Galeocerdo cuvier","eez","Sri Lanka",0.5,NA
"203",41,"Galeocerdo cuvier","eez","Mozambique",0.5,NA
"204",42,"Galeocerdo cuvier","eez","Madagascar",0.5,NA
"205",43,"Galeocerdo cuvier","eez","Kenya",0.5,NA
"206",44,"Galeocerdo cuvier","eez","Somalia",0.5,NA
"207",45,"Galeocerdo cuvier","eez","Eritrea",0.5,NA
"208",46,"Galeocerdo cuvier","eez","Djibouti",0.5,NA
"209",47,"Galeocerdo cuvier","eez","Yemen",0.5,NA
"210",48,"Galeocerdo cuvier","eez","Oman",0.5,NA
"211",49,"Galeocerdo cuvier","eez","Sudan",0.5,NA
"212",50,"Galeocerdo cuvier","eez","Saudi Arabia",0.5,NA
"213",51,"Galeocerdo cuvier","eez","Kuwait",0.5,NA
"214",52,"Galeocerdo cuvier","eez","Bahrain",0.5,NA
"215",53,"Galeocerdo cuvier","eez","Pakistan",0.5,NA
"216",54,"Galeocerdo cuvier","eez","United Arab Emirates",0.5,NA
"217",55,"Galeocerdo cuvier","eez","Azores",0.5,NA
"218",56,"Galeocerdo cuvier","eez","Cape Verde",0.5,NA
"219",57,"Galeocerdo cuvier","eez","Madeira",0.5,NA
"220",58,"Galeocerdo cuvier","eez","Canary Islands",0.5,NA
"221",59,"Galeocerdo cuvier","eez","Belgium",0.5,NA
"222",62,"Galeocerdo cuvier","eez","Morocco",0.5,NA
"223",63,"Galeocerdo cuvier","eez","Western Sahara",0.5,NA
"224",64,"Galeocerdo cuvier","eez","Mauritania",0.5,NA
